epoch,accuracy,loss,val_accuracy,val_loss
0,0.8577666878700256,0.5541791915893555,0.9146000146865845,0.30108773708343506
1,0.9211500287055969,0.2771493196487427,0.9296000003814697,0.24512919783592224
2,0.9340833425521851,0.23237331211566925,0.9381999969482422,0.21481792628765106
3,0.942466676235199,0.2022758424282074,0.9445000290870667,0.19184580445289612
4,0.9493499994277954,0.17867089807987213,0.9505000114440918,0.17037838697433472
5,0.9538833498954773,0.1612793654203415,0.9520000219345093,0.1644759327173233
6,0.9583166837692261,0.1469452828168869,0.9567000269889832,0.1498652547597885
7,0.961566686630249,0.13428832590579987,0.957099974155426,0.14318595826625824
8,0.9645833373069763,0.12481361627578735,0.958899974822998,0.13704194128513336
9,0.9677166938781738,0.11630647629499435,0.9607999920845032,0.13193389773368835
